SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
花蓮,花蓮縣,,,設備維護,1.7,0.1,0.1,17,21,,1,0.4,1.1,0.7,1.8,121,2018-07-27 16:00,3,,23.971306,121.599769
崙背,雲林縣,54,細懸浮微粒,普通,0.2,0.07,0.1,21,25,23,17,9.4,10,1,2.9,291,2018-07-27 16:00,17,29,23.757547,120.348742
富貴角,新北市,36,,良好,0.3,0.08,0.1,23,24,8,7,,,,2.6,82,2018-07-27 16:00,11,9,25.298562,121.536763
麥寮,雲林縣,58,細懸浮微粒,普通,7.6,0.22,0.2,16,22,46,17,11,21,10,2.5,313,2018-07-27 16:00,18,51,23.753506,120.251825
關山,臺東縣,29,,良好,2.5,-,,12,15,16,9,1.8,5.3,3.5,1.6,160,2018-07-27 16:00,9,20,23.045083,121.161933
馬公,澎湖縣,24,,良好,1.5,0.09,0.1,29,25,16,7,1.3,3.2,1.9,2.3,223,2018-07-27 16:00,7,18,23.569031,119.566158
金門,金門縣,47,,良好,2.4,0.1,0.2,36,34,19,12,3.1,4.9,1.8,6.1,192,2018-07-27 16:00,15,31,24.432133,118.312256
馬祖,連江縣,70,細懸浮微粒,普通,3.3,0.16,0.2,56,44,46,22,0.5,0.6,0.1,2.6,182,2018-07-27 16:00,23,46,26.160469,119.949875
埔里,南投縣,73,細懸浮微粒,普通,2.1,0.24,0.3,54,52,44,26,10,11,0.8,2,216,2018-07-27 16:00,25,37,23.968842,120.967903
復興,高雄市,30,,良好,3,0.21,0.3,18,20,14,9,11,14,3.2,0.8,125,2018-07-27 16:00,9,22,22.608711,120.312017
永和,新北市,63,細懸浮微粒,普通,1.4,0.55,1.1,37,24,30,16,,,,1.9,120,2018-07-27 16:00,21,36,25.017,121.516306
竹山,南投縣,63,細懸浮微粒,普通,1.9,0.17,0.1,35,37,30,14,6.4,8.4,2,2.4,156,2018-07-27 16:00,20,40,23.756389,120.677306
中壢,桃園市,41,,良好,4.2,1.04,0.6,7.2,16,44,9,28,56,28,0.8,288,2018-07-27 16:00,12,44,24.953278,121.221667
三重,新北市,47,,良好,2.6,1.54,1.1,-,,57,10,48,97,49,,,2018-07-27 16:00,15,51,25.072611,121.493806
冬山,宜蘭縣,45,,良好,4.2,0.37,0.3,35,41,33,14,9.2,13,3.8,2.8,59,2018-07-27 16:00,14,,24.632203,121.792928
宜蘭,宜蘭縣,50,,良好,1.9,0.23,0.3,50,46,25,10,5.6,6.6,1,1.4,311,2018-07-27 16:00,15,30,24.747917,121.746394
陽明,臺北市,40,,良好,2.3,0.09,0.1,26,24,14,10,2.1,2.6,0.5,,,2018-07-27 16:00,12,18,25.182722,121.529583
花蓮,花蓮縣,19,,良好,1.7,0.1,0.1,17,21,,ND,0.4,1.1,0.7,1.8,121,2018-07-27 16:00,3,,23.971306,121.599769
臺東,臺東縣,16,,良好,1.1,0.18,0.2,13,13,9,4,2.6,5.8,3.3,1.3,151,2018-07-27 16:00,5,13,22.755358,121.15045
恆春,屏東縣,19,,良好,3.3,0.05,0.1,24,21,12,,1,2,1,3.6,181,2018-07-27 16:00,1,,21.958069,120.788928
潮州,屏東縣,68,細懸浮微粒,普通,1.3,0.16,0.2,36,37,30,23,4.4,5.5,1,0.9,170,2018-07-27 16:00,22,32,22.523108,120.561175
屏東,屏東縣,,,設備維護,3.1,0.23,0.3,26,40,,,,,,1.9,257,2018-07-27 16:00,29,,22.673081,120.488033
小港,高雄市,30,,良好,9.7,0.16,0.2,14,23,37,5,15,21,6.1,3.5,51,2018-07-27 16:00,9,30,22.565833,120.337736
前鎮,高雄市,36,,良好,3.3,0.22,0.3,17,19,19,8,10,14,3.4,1.3,169,2018-07-27 16:00,11,,22.605386,120.307564
前金,高雄市,29,,良好,3.2,0.11,0.2,27,31,7,ND,3.7,4.3,0.6,2.7,222,2018-07-27 16:00,9,21,22.632567,120.288086
左營,高雄市,32,,良好,1.8,0.11,0.1,29,30,24,12,2.3,3.5,1.3,2.5,247,2018-07-27 16:00,10,33,22.674861,120.292917
楠梓,高雄市,67,細懸浮微粒,普通,,,0.2,21,37,75,42,,,,3,55,2018-07-27 16:00,22,47,22.733667,120.328289
林園,高雄市,28,,良好,2.2,0.08,0.1,26,27,19,11,1.4,2.2,0.8,1.8,347,2018-07-27 16:00,9,19,22.4795,120.41175
大寮,高雄市,53,細懸浮微粒,普通,4.9,0.29,0.3,20,22,33,13,17,22,4.5,2.5,309,2018-07-27 16:00,16,33,22.565747,120.425081
鳳山,高雄市,45,,良好,1.9,0.34,0.4,24,26,12,6,13,15,1.6,2.1,104,2018-07-27 16:00,14,25,22.627392,120.358083
仁武,高雄市,37,,良好,2.4,0.21,0.2,24,31,28,9,13,16,2.9,2.2,117,2018-07-27 16:00,12,27,22.689056,120.332631
橋頭,高雄市,30,,良好,1.2,0.12,0.2,26,32,22,ND,5.7,6.7,1.1,3.4,103,2018-07-27 16:00,5,30,22.757506,120.305689
美濃,高雄市,35,,良好,0.5,0.16,0.2,34,38,10,3,5.5,7.1,1.6,1,55,2018-07-27 16:00,6,27,22.883583,120.530542
臺南,臺南市,54,細懸浮微粒,普通,1.9,0.16,0.2,29,32,33,17,3.3,4.6,1.2,2.9,275,2018-07-27 16:00,17,30,22.984581,120.202617
安南,臺南市,48,,良好,1.4,0.13,0.2,25,28,33,13,2.4,3.6,1.2,2.5,314,2018-07-27 16:00,15,37,23.048197,120.2175
善化,臺南市,57,細懸浮微粒,普通,1.8,0.13,0.1,25,30,34,15,5.7,8.1,2.3,3.5,61,2018-07-27 16:00,18,45,23.115097,120.297142
新營,臺南市,62,細懸浮微粒,普通,,,0.2,24,28,42,24,,,,2.4,290,2018-07-27 16:00,20,40,23.305633,120.31725
嘉義,嘉義市,57,細懸浮微粒,普通,6.9,0.18,0.2,27,34,33,16,7.3,7.8,0.5,1.4,144,2018-07-27 16:00,18,35,23.462778,120.440833
臺西,雲林縣,42,,良好,1.4,0.09,0.1,26,26,19,8,1,1.9,0.9,4.2,309,2018-07-27 16:00,13,26,23.717533,120.202842
朴子,嘉義縣,49,,良好,2,0.15,0.2,24,28,34,12,3.1,5,2,2.6,287,2018-07-27 16:00,15,49,23.465308,120.24735
新港,嘉義縣,63,細懸浮微粒,普通,1.3,0.1,0.1,25,30,24,22,2.5,3.6,1.1,3,249,2018-07-27 16:00,20,31,23.554839,120.345531
斗六,雲林縣,57,細懸浮微粒,普通,3.1,0.11,0.1,28,34,31,8,3.9,5.9,2,1.9,358,2018-07-27 16:00,18,37,23.711853,120.544994
南投,南投縣,52,細懸浮微粒,普通,1.1,0.21,0.3,29,30,,10,7.5,9.4,1.9,2.8,327,2018-07-27 16:00,16,,23.913,120.685306
二林,彰化縣,51,細懸浮微粒,普通,,0.11,0.1,23,25,29,10,,,,2.2,306,2018-07-27 16:00,16,30,23.925175,120.409653
線西,彰化縣,29,,良好,0.5,0.17,0.2,22,25,10,ND,1.3,3.3,2.1,3.1,158,2018-07-27 16:00,9,20,24.131672,120.469061
彰化,彰化縣,38,,良好,5,0.22,0.2,19,22,23,12,5.8,7.4,1.6,3.1,341,2018-07-27 16:00,12,30,24.066,120.541519
西屯,臺中市,58,細懸浮微粒,普通,2.7,0.11,0.2,25,23,31,10,8.1,9.9,1.8,3.1,344,2018-07-27 16:00,18,31,24.162197,120.616917
忠明,臺中市,46,,良好,1.7,0.15,0.2,23,24,18,12,7.1,10,3.2,2.8,325,2018-07-27 16:00,14,28,24.151958,120.641092
